Subsector name,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2027/2028,2028/2029
Advanced technical and managerial training,0,0,0,0,1120000,74218,966412.41,4735518.91,4542720.56,7317625.37,7272317.41,5036341.5,5012006.94,3614856.25,838959.24,0,0,0,0,0,0,0,0
Basic life skills for adults,0,508.4,509025.5,1650229.85,2147939.75,2886352.7,20941640.65,37642460.45,48519370.98,34452651.04,15852326.43,11815841.04,11091444.08,8187806.37,6765081.38,0,0,0,0,0,0,0,0
Early childhood education,0,0,0,124.35,1093.35,405482.05,500650.95,250517.65,251354.1,389117.2,1970067.08,3381213.76,4712551.91,6190268.1,2402371.75,0,0,0,0,0,0,0,0
Education facilities and training,0,1505.72,1400608.66,4898844.72,5357963.72,8196141.93,10980162.52,11684882.85,17967332.44,19194440.81,21324596.76,14511705.65,14325598.65,36833462.25,26461951.67,0,0,0,0,0,0,0,0
Education policy and administrative management,2250000,2259002.1,1363975.1,7830985.2,21948967.7,65233625.55,138448312.99,241614145.82,194599146.35,98295537.95,134726337.65,122304058.37,101525293.65,122802475.06,98916846.88,0,0,0,0,0,0,0,0
Educational research,0,0,0,0,7145.4,1593090.2,4375137.44,14687777.07,18736747.84,18249298.67,21020588.76,26409414.62,28602296.09,23628424.23,18610520.76,0,0,0,0,0,0,0,0
Higher education,0,0,0,0,0,17091178,20208756,28159343.3,34254671.6,39583298.3,94610828.05,89634317.445342,37489399.25,40494026.45,34497431.88,0,0,0,0,0,0,0,0
Primary education,1125000,1129617.93,1496124.59,6480102.48,8821179.15,71611541,76581795.21,231046616.3,204913892.74,184828221.62,244542764.32,188697917.25,186647326.5,221491959.61,103370845.74,0,0,0,0,0,0,0,0
Teacher training,0,1384.56,1148433.16,3628058.18,4341963.71,8853448.47,16812304.88,28509353.45,42619041.47,51817986.3,46688389.32,27581206.65,29748437.61,26792717.63,18349889.02,0,0,0,0,0,0,0,0
Upper Secondary Education (modified and includes data from 11322),675000,677246.39,885796.09,3410011.83,4728078.98,25554328.38,36461639.67,85858714.29,88089838.62,77838286.49,95948844.49,81199237.64,78202903.72,91624647.09,55359743.39,0,0,0,0,0,0,0,0
Vocational training,0,0,0,124.35,2543429.75,926060.55,3681452.44,9577090.88,10223483.67,31366919.49,47099605.01,42811451.33,38401899.92,32834553.95,22926300.3,0,0,0,0,0,0,0,0
