Recipient name,Recipient code,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2028/2029
"Africa, regional",298,0,0,0,0,0,0,0,0,0,1300000,0,8795.6,13193.6,0,0,0,0,0,0,0,0
"Asia, regional",798,0,0,0,0,391050,0,0,420000,450000,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BD,0,0,0,0,2763363.84,2919410.4,5854766.52,4229972.08,5210209.73,7330899,5989701.5,5115960.5,10392278.68,3434840.75,0,0,0,0,0,0,0
Congo (the Democratic Republic of the),CD,0,0,0,0,0,0,3364628.7,2585691.19,2373511.96,1282775.21,1188173.36,818761.49,1017395.54,5014695.4,0,0,0,0,0,0,0
"Developing countries, unspecified",998,0,0,0,0,1421025.1,6696408.85,8433418.75,12630769,17296835.45,5706303.5,37043870.04,15075269.89,18573511.2,22751459.4,0,0,0,0,0,0,0
Eritrea,ER,0,0,0,0,0,0,0,0,0,0,0,2333095.91,2385197.92,473760,0,0,0,0,0,0,0
Ethiopia,ET,0,0,0,0,67500,22500,3356250,5318346.9,11847000,2563077.8,4098812.8,0,0,0,0,0,0,0,0,0,0
India,IN,5100019.8,10354473.8,12741845.24,21459932.4,22701399.4,22061182.4,24331604.85,17788979.4,8888138.57,3617924.91,305427.15,0,0,86100,0,0,0,0,0,0,0
Kenya,KE,0,0,0,0,0,0,0,0,0,616529,4e+06,8232700,16600000,5900000,0,0,0,0,0,0,0
Malawi,MW,0,0,0,0,0,0,1e+05,641278.24,420609.75,7900000,2164213,4292737,478418,0,0,0,0,0,0,0,0
Mozambique,MZ,0,0,0,0,0,0,2358729,322805.4,381920.6,2954971.9,1982617,2239886.7,5082948.75,3964775.9,0,0,0,0,0,0,0
Myanmar,MM,0,0,0,0,2949.15,0,0,0,0,4.7,0,450060.55,630000,540014.3,0,0,0,0,0,0,0
Nepal,NP,0,0,0,0,0,0,0,3220.5,0,600150.6,2145.9,0,0,0,0,0,0,0,0,0,0
Nigeria,NG,0,0,0,0,1903210.6,3739230.5,5368515.5,4166861.5,5470700.35,30631314.7,3525381.6,478675.1,3583282.6,5551957.5,0,0,0,0,0,0,0
Pakistan,PK,0,0,0,0,10356.1,16717,1823200,2351399.3,2458512.7,7443294,11099348.4,11041474.8,11715391.6,4471743.55,0,0,0,0,0,0,0
Rwanda,RW,0,0,0,0,0,13750,45625,75000,60000,3930000,3890169.4,16702.45,0,1622412.5,0,0,0,0,0,0,0
Sierra Leone,SL,0,0,0,0,0,0,0,0,0,0,2136260,0,0,0,0,0,0,0,0,0,0
Somalia,SO,0,0,0,0,0,0,0,0,0,1292138.45,1657107.1,2964294.2,2864598.25,3622198.14,0,0,0,0,0,0,0
South Sudan,SS,0,0,0,0,0,0,0,0,12184500,21649454.4,24758447.4,19126687.2,20258975.6,9025900.5,0,0,0,0,0,0,0
"South of Sahara, regional",289,0,0,0,0,0,0,0,0,0,8e+06,1.6e+07,0,0,0,0,0,0,0,0,0,0
Sudan (the),SD,0,0,0,0,0,0,0,0,0,0,1853964,3801333.2,3227782.9,4480000,0,0,0,0,0,0,0
"Tanzania, United Republic of",TZ,0,0,0,0,0,0,113048.6,722583.4,1736548.6,4084331.8,6916883.7,6208678.8,8776418.3,1008104.4,0,0,0,0,0,0,0
Uganda,UG,0,0,0,0,0,0,0,0,2954617,1751756.74,2408901.6,6028070,10524637,2198611.5,0,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),VE,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+06,0,0,0,0,0,0,0
Yemen,YE,0,0,0,0,0,4144375,5807594,5554199,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZM,0,0,0,0,497482.4,647607.4,1069966.04,1277570.26,2935605.45,4292156.54,1508660.95,221709.4,6461603.12,2906270.6,0,0,0,0,0,0,0
Zimbabwe,ZW,0,0,0,119991.6,105220.6,158218,412762,442478.8,72799.2,4900818.8,9062705.5,5964049.9,5688086.25,4715667.55,0,0,0,0,0,0,0
