Sector code,Sector name
110,Education
120,Health
130,Population Policies/Programmes & Reproductive Health
140,Water Supply & Sanitation
150,Government & Civil Society
160,Other Social Infrastructure & Services
210,Transport & Storage
220,Communications
230,Energy
240,Banking & Financial Services
250,Business & Other Services
310,"Agriculture, Forestry, Fishing"
320,"Industry, Mining, Construction"
330,Trade Policies & Regulations
410,General Environment Protection
430,Other Multisector
510,General Budget Support
520,Development Food Assistance
530,Other Commodity Assistance
600,Action Relating to Debt
720,Emergency Response
730,Reconstruction Relief & Rehabilitation
740,Disaster Prevention & Preparedness
910,Administrative Costs of Donors
930,Refugees in Donor Countries
